epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,23.4778,1.20513,0.81985,1,0.5778,0.000364161,0.000364161,0.000364161
2,45.8007,0.46306,0.88971,1,0.27933,0.000661779,0.000661779,0.000661779
3,67.2002,0.31254,0.85294,1,0.46535,0.000886072,0.000886072,0.000886072
4,88.1072,0.28329,0.93015,1,0.20287,0.000781033,0.000781033,0.000781033
5,108.863,0.21388,0.95588,1,0.15471,0.000671044,0.000671044,0.000671044
6,129.564,0.19725,0.91176,1,0.23446,0.000561055,0.000561055,0.000561055
7,150.374,0.16133,0.9375,1,0.15976,0.000451066,0.000451066,0.000451066
8,171.359,0.14901,0.92647,1,0.15049,0.000341077,0.000341077,0.000341077
9,192.256,0.12128,0.93015,1,0.15439,0.000231088,0.000231088,0.000231088
10,212.988,0.14365,0.95588,1,0.13827,0.000121099,0.000121099,0.000121099
