epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,24.9624,1.2103,0.83088,1,0.5087,0.000364161,0.000364161,0.000364161
2,48.8329,0.48936,0.86397,1,0.39063,0.000661779,0.000661779,0.000661779
3,71.4419,0.35672,0.91176,1,0.24203,0.000886072,0.000886072,0.000886072
4,94.2168,0.29615,0.93382,1,0.18513,0.000781033,0.000781033,0.000781033
5,116.328,0.21041,0.94485,1,0.15358,0.000671044,0.000671044,0.000671044
6,138.373,0.19301,0.95588,1,0.12772,0.000561055,0.000561055,0.000561055
7,160.212,0.16607,0.95221,1,0.14547,0.000451066,0.000451066,0.000451066
8,182.117,0.14828,0.96691,1,0.14395,0.000341077,0.000341077,0.000341077
9,204.27,0.1257,0.97059,1,0.12538,0.000231088,0.000231088,0.000231088
10,226.053,0.14628,0.96691,1,0.12322,0.000121099,0.000121099,0.000121099
